from_city,to_city,airline,flight_number,departure,arrival,price,currency
Rome,Madrid,Air India,AI604,2025-08-19T15:25,2025-08-19T19:25,833,USD
London,Los Angeles,Air India,AI626,2025-07-07T15:25,2025-07-08T01:25,819,USD
Bangkok,Madrid,Delta,DE920,2025-09-01T15:25,2025-09-02T01:25,204,USD
Paris,Beijing,American Airlines,AM837,2025-08-20T15:25,2025-08-20T18:25,898,USD
Rome,Los Angeles,American Airlines,AM994,2025-11-22T15:25,2025-11-22T23:25,742,USD
Hong Kong,Madrid,United Airlines,UN591,2025-10-19T15:25,2025-10-19T20:25,510,USD
London,Beijing,Cathay Pacific,CA835,2025-10-12T15:25,2025-10-13T00:25,1451,USD
Beijing,Hong Kong,Emirates,EM674,2025-10-03T15:25,2025-10-03T17:25,827,USD
Frankfurt,Melbourne,Lufthansa,LU919,2025-07-27T15:25,2025-07-27T21:25,426,USD
Istanbul,Singapore,Japan Airlines,JA949,2025-08-01T15:25,2025-08-01T20:25,1145,USD
Toronto,Los Angeles,Cathay Pacific,CA397,2025-07-07T15:25,2025-07-07T20:25,660,USD
Delhi,Istanbul,Cathay Pacific,CA169,2025-08-21T15:25,2025-08-22T02:25,1035,USD
London,Rome,British Airways,BR422,2025-07-30T15:25,2025-07-30T19:25,421,USD
Dubai,Hong Kong,Lufthansa,LU209,2025-11-04T15:25,2025-11-05T05:25,603,USD
Hong Kong,Tokyo,Japan Airlines,JA947,2025-08-17T15:25,2025-08-17T22:25,1420,USD
Frankfurt,Delhi,United Airlines,UN881,2025-09-04T15:25,2025-09-04T23:25,785,USD
Hong Kong,Los Angeles,Air China,AI143,2025-11-11T15:25,2025-11-12T01:25,1244,USD
Moscow,Toronto,American Airlines,AM310,2025-08-07T15:25,2025-08-08T00:25,864,USD
Melbourne,Rome,British Airways,BR898,2025-06-19T15:25,2025-06-19T22:25,1199,USD
Delhi,Beijing,Alitalia,AL933,2025-10-07T15:25,2025-10-07T22:25,797,USD
New York,Dubai,Air France,AI307,2025-06-11T15:25,2025-06-12T03:25,445,USD
London,Hong Kong,Air India,AI197,2025-09-27T15:25,2025-09-27T20:25,836,USD
Dubai,Madrid,Alitalia,AL603,2025-10-22T15:25,2025-10-23T00:25,631,USD
Moscow,Istanbul,Lufthansa,LU284,2025-10-05T15:25,2025-10-05T17:25,727,USD
New York,Frankfurt,United Airlines,UN496,2025-10-17T15:25,2025-10-17T21:25,268,USD
New York,Singapore,Turkish Airlines,TU211,2025-10-31T15:25,2025-10-31T22:25,900,USD
Toronto,Rome,Air France,AI117,2025-10-23T15:25,2025-10-24T04:25,1203,USD
Delhi,Chicago,United Airlines,UN884,2025-09-12T15:25,2025-09-12T23:25,508,USD
New York,Toronto,Singapore Airlines,SI687,2025-06-15T15:25,2025-06-15T21:25,1036,USD
New York,Hong Kong,Emirates,EM703,2025-07-12T15:25,2025-07-12T22:25,1330,USD
London,Toronto,Alitalia,AL503,2025-10-05T15:25,2025-10-06T03:25,991,USD
Melbourne,New York,Air France,AI886,2025-06-22T15:25,2025-06-22T22:25,1346,USD
Moscow,Dubai,Lufthansa,LU142,2025-10-07T15:25,2025-10-08T05:25,84,USD
Delhi,New York,American Airlines,AM824,2025-09-01T15:25,2025-09-01T21:25,513,USD
New York,Paris,Japan Airlines,JA141,2025-06-26T15:25,2025-06-26T18:25,732,USD
Istanbul,London,Cathay Pacific,CA361,2025-07-17T15:25,2025-07-17T17:25,1014,USD
Paris,Frankfurt,Emirates,EM438,2025-11-16T15:25,2025-11-16T20:25,674,USD
Frankfurt,Tokyo,Qantas,QA166,2025-06-23T15:25,2025-06-24T05:25,426,USD
Rome,Los Angeles,Turkish Airlines,TU579,2025-09-09T15:25,2025-09-09T17:25,579,USD
Singapore,Rome,Lufthansa,LU939,2025-08-20T15:25,2025-08-20T22:25,886,USD
Bangkok,Frankfurt,Qantas,QA820,2025-11-25T15:25,2025-11-26T02:25,950,USD
Istanbul,Delhi,American Airlines,AM743,2025-08-19T15:25,2025-08-19T22:25,768,USD
Madrid,New York,Singapore Airlines,SI772,2025-11-08T15:25,2025-11-09T00:25,304,USD
London,Hong Kong,Air China,AI276,2025-06-17T15:25,2025-06-17T18:25,1206,USD
Tokyo,New York,Air China,AI751,2025-06-08T15:25,2025-06-08T20:25,1360,USD
Delhi,Los Angeles,Lufthansa,LU558,2025-10-17T15:25,2025-10-17T18:25,860,USD
Moscow,Rome,Air France,AI146,2025-09-06T15:25,2025-09-06T22:25,1428,USD
New York,Tokyo,Japan Airlines,JA574,2025-09-27T15:25,2025-09-27T21:25,743,USD
Chicago,Dubai,Cathay Pacific,CA118,2025-08-12T15:25,2025-08-12T20:25,192,USD
London,Toronto,Japan Airlines,JA848,2025-08-09T15:25,2025-08-09T18:25,1450,USD
Dubai,Hong Kong,United Airlines,UN861,2025-08-02T15:25,2025-08-03T04:25,620,USD
Bangkok,Dubai,American Airlines,AM942,2025-10-25T15:25,2025-10-25T18:25,752,USD
London,New York,Air India,AI817,2025-07-04T15:25,2025-07-04T18:25,1043,USD
Frankfurt,Hong Kong,Delta,DE800,2025-10-27T15:25,2025-10-27T18:25,274,USD
Madrid,Delhi,United Airlines,UN201,2025-08-16T15:25,2025-08-17T01:25,1250,USD
Sydney,Madrid,Turkish Airlines,TU349,2025-07-15T15:25,2025-07-15T23:25,449,USD
Chicago,Melbourne,Qantas,QA827,2025-08-02T15:25,2025-08-03T04:25,786,USD
Moscow,Tokyo,Delta,DE763,2025-09-18T15:25,2025-09-18T21:25,1011,USD
Beijing,Frankfurt,British Airways,BR546,2025-06-16T15:25,2025-06-16T18:25,1181,USD
Bangkok,Delhi,Air France,AI635,2025-07-21T15:25,2025-07-21T21:25,744,USD
Chicago,Istanbul,Air China,AI411,2025-06-14T15:25,2025-06-15T02:25,1311,USD
Istanbul,Frankfurt,United Airlines,UN233,2025-06-08T15:25,2025-06-09T00:25,1062,USD
Sydney,Melbourne,Singapore Airlines,SI476,2025-11-12T15:25,2025-11-12T22:25,435,USD
Hong Kong,Beijing,Emirates,EM196,2025-10-26T15:25,2025-10-26T22:25,1276,USD
Singapore,Los Angeles,Emirates,EM626,2025-07-29T15:25,2025-07-29T19:25,1152,USD
Hong Kong,Chicago,Singapore Airlines,SI941,2025-07-31T15:25,2025-07-31T20:25,204,USD
Bangkok,Dubai,Cathay Pacific,CA330,2025-10-28T15:25,2025-10-29T05:25,813,USD
Hong Kong,Sydney,Emirates,EM352,2025-10-07T15:25,2025-10-07T17:25,1463,USD
Bangkok,Istanbul,Turkish Airlines,TU745,2025-11-13T15:25,2025-11-14T03:25,1091,USD
Toronto,Frankfurt,Qantas,QA654,2025-10-03T15:25,2025-10-04T05:25,910,USD
Bangkok,Los Angeles,British Airways,BR394,2025-07-17T15:25,2025-07-18T03:25,949,USD
Moscow,Frankfurt,Air China,AI129,2025-06-24T15:25,2025-06-25T00:25,782,USD
Dubai,Delhi,United Airlines,UN512,2025-09-05T15:25,2025-09-06T02:25,835,USD
Dubai,Frankfurt,Cathay Pacific,CA892,2025-09-16T15:25,2025-09-17T05:25,622,USD
New York,Paris,Singapore Airlines,SI677,2025-11-29T15:25,2025-11-29T23:25,1120,USD
Rome,Paris,Alitalia,AL510,2025-09-07T15:25,2025-09-07T22:25,247,USD
Chicago,Delhi,Emirates,EM726,2025-08-24T15:25,2025-08-25T04:25,116,USD
Paris,Singapore,Qantas,QA996,2025-11-10T15:25,2025-11-10T23:25,771,USD
Madrid,Istanbul,Cathay Pacific,CA410,2025-10-04T15:25,2025-10-05T01:25,1232,USD
Rome,Los Angeles,Delta,DE100,2025-07-03T15:25,2025-07-03T19:25,1067,USD
Tokyo,Los Angeles,Alitalia,AL192,2025-10-04T15:25,2025-10-04T23:25,244,USD
Istanbul,Singapore,Singapore Airlines,SI600,2025-10-24T15:25,2025-10-24T20:25,490,USD
Hong Kong,Frankfurt,Singapore Airlines,SI672,2025-10-09T15:25,2025-10-10T02:25,1282,USD
Los Angeles,Hong Kong,Delta,DE946,2025-06-29T15:25,2025-06-29T18:25,250,USD
Sydney,New York,British Airways,BR378,2025-10-18T15:25,2025-10-19T06:25,156,USD
Delhi,London,Turkish Airlines,TU737,2025-09-18T15:25,2025-09-19T05:25,716,USD
Dubai,Istanbul,Cathay Pacific,CA775,2025-11-21T15:25,2025-11-21T19:25,119,USD
Frankfurt,Madrid,British Airways,BR304,2025-07-29T15:25,2025-07-29T17:25,1025,USD
Los Angeles,Rome,Air China,AI825,2025-09-23T15:25,2025-09-24T00:25,960,USD
Moscow,Melbourne,Delta,DE351,2025-06-24T15:25,2025-06-24T20:25,1128,USD
Melbourne,London,Turkish Airlines,TU225,2025-08-06T15:25,2025-08-06T18:25,1448,USD
Singapore,Tokyo,Turkish Airlines,TU872,2025-10-07T15:25,2025-10-08T04:25,1066,USD
Paris,Singapore,British Airways,BR414,2025-06-15T15:25,2025-06-16T03:25,1387,USD
Los Angeles,Dubai,Air France,AI805,2025-07-14T15:25,2025-07-14T20:25,1313,USD
Rome,Madrid,Singapore Airlines,SI170,2025-08-30T15:25,2025-08-30T17:25,961,USD
Bangkok,Frankfurt,Alitalia,AL548,2025-11-10T15:25,2025-11-10T20:25,1364,USD
Moscow,Dubai,Japan Airlines,JA705,2025-06-17T15:25,2025-06-17T20:25,1118,USD
Moscow,Paris,Turkish Airlines,TU989,2025-07-30T15:25,2025-07-31T02:25,793,USD
Hong Kong,Toronto,Air China,AI152,2025-08-07T15:25,2025-08-08T05:25,1305,USD
Bangkok,Delhi,Lufthansa,LU415,2025-10-12T15:25,2025-10-12T17:25,735,USD
Melbourne,Rome,Lufthansa,LU187,2025-07-13T15:25,2025-07-14T04:25,670,USD
Frankfurt,Hong Kong,Emirates,EM873,2025-10-18T15:25,2025-10-19T01:25,1028,USD
Frankfurt,New York,Delta,DE227,2025-09-06T15:25,2025-09-07T00:25,429,USD
Melbourne,Singapore,United Airlines,UN919,2025-09-15T15:25,2025-09-16T02:25,850,USD
Los Angeles,Toronto,Cathay Pacific,CA632,2025-10-14T15:25,2025-10-14T20:25,1302,USD
Madrid,Paris,Qantas,QA397,2025-09-11T15:25,2025-09-11T17:25,612,USD
London,Moscow,Japan Airlines,JA376,2025-11-23T15:25,2025-11-24T02:25,788,USD
Delhi,Chicago,Air India,AI542,2025-07-03T15:25,2025-07-04T04:25,1324,USD
Los Angeles,Delhi,Air France,AI927,2025-09-13T15:25,2025-09-13T19:25,1435,USD
Moscow,Rome,Cathay Pacific,CA148,2025-08-23T15:25,2025-08-23T19:25,1008,USD
Bangkok,Paris,Singapore Airlines,SI334,2025-10-16T15:25,2025-10-16T21:25,339,USD
London,Los Angeles,Air China,AI762,2025-08-13T15:25,2025-08-14T01:25,1364,USD
Singapore,Paris,Emirates,EM651,2025-08-02T15:25,2025-08-02T19:25,231,USD
Chicago,Melbourne,Air France,AI755,2025-07-10T15:25,2025-07-11T05:25,471,USD
Bangkok,Dubai,American Airlines,AM416,2025-09-17T15:25,2025-09-17T23:25,1387,USD
Melbourne,Rome,Cathay Pacific,CA506,2025-06-06T15:25,2025-06-06T17:25,281,USD
Madrid,Delhi,Turkish Airlines,TU569,2025-07-11T15:25,2025-07-12T03:25,210,USD
Hong Kong,Beijing,Emirates,EM961,2025-07-01T15:25,2025-07-01T19:25,251,USD
Moscow,Los Angeles,Qantas,QA352,2025-07-13T15:25,2025-07-14T00:25,1084,USD
Istanbul,Dubai,Cathay Pacific,CA264,2025-06-16T15:25,2025-06-16T17:25,1395,USD
Beijing,Istanbul,Emirates,EM584,2025-08-23T15:25,2025-08-24T03:25,1216,USD
Melbourne,Madrid,Singapore Airlines,SI997,2025-10-20T15:25,2025-10-20T19:25,914,USD
Singapore,Melbourne,Turkish Airlines,TU922,2025-09-11T15:25,2025-09-11T19:25,134,USD
Paris,Rome,British Airways,BR129,2025-07-28T15:25,2025-07-29T03:25,554,USD
Singapore,Delhi,British Airways,BR288,2025-08-05T15:25,2025-08-05T21:25,81,USD
Istanbul,London,Delta,DE796,2025-09-27T15:25,2025-09-27T20:25,420,USD
Moscow,Dubai,Delta,DE916,2025-11-15T15:25,2025-11-16T05:25,666,USD
Tokyo,New York,Delta,DE613,2025-11-21T15:25,2025-11-21T20:25,420,USD
Singapore,Dubai,Air India,AI681,2025-06-07T15:25,2025-06-07T21:25,1184,USD
Madrid,Singapore,Air France,AI386,2025-06-04T15:25,2025-06-05T04:25,261,USD
Istanbul,Rome,Turkish Airlines,TU402,2025-07-23T15:25,2025-07-24T02:25,1116,USD
Istanbul,Chicago,Turkish Airlines,TU210,2025-09-24T15:25,2025-09-24T22:25,308,USD
Frankfurt,Rome,Turkish Airlines,TU247,2025-10-18T15:25,2025-10-18T18:25,1115,USD
Bangkok,Tokyo,United Airlines,UN710,2025-06-20T15:25,2025-06-21T00:25,935,USD
Beijing,Rome,Air China,AI121,2025-10-28T15:25,2025-10-29T05:25,1341,USD
Bangkok,London,Qantas,QA234,2025-08-09T15:25,2025-08-09T21:25,1121,USD
Bangkok,Melbourne,Turkish Airlines,TU478,2025-08-17T15:25,2025-08-18T04:25,521,USD
Madrid,Melbourne,Alitalia,AL485,2025-11-10T15:25,2025-11-10T21:25,430,USD
Rome,London,Air India,AI676,2025-10-22T15:25,2025-10-23T05:25,1478,USD
Moscow,Bangkok,Air China,AI402,2025-10-24T15:25,2025-10-24T19:25,450,USD
Paris,Los Angeles,Turkish Airlines,TU930,2025-06-06T15:25,2025-06-06T22:25,120,USD
Chicago,Rome,Delta,DE125,2025-09-19T15:25,2025-09-20T02:25,1246,USD
Madrid,Sydney,Turkish Airlines,TU933,2025-08-23T15:25,2025-08-23T23:25,334,USD
Moscow,Bangkok,American Airlines,AM549,2025-08-05T15:25,2025-08-05T21:25,899,USD
Singapore,Istanbul,Turkish Airlines,TU289,2025-08-28T15:25,2025-08-29T00:25,1137,USD
Toronto,Moscow,Alitalia,AL102,2025-11-01T15:25,2025-11-02T00:25,1433,USD
Rome,Delhi,Air India,AI391,2025-06-25T15:25,2025-06-26T01:25,1478,USD
Madrid,Paris,Turkish Airlines,TU875,2025-09-04T15:25,2025-09-04T17:25,1076,USD
Singapore,Chicago,Qantas,QA374,2025-08-13T15:25,2025-08-13T18:25,587,USD
Beijing,Istanbul,Cathay Pacific,CA794,2025-09-03T15:25,2025-09-04T00:25,283,USD
Madrid,Delhi,Air China,AI895,2025-08-07T15:25,2025-08-08T04:25,456,USD
Los Angeles,Melbourne,Emirates,EM140,2025-08-05T15:25,2025-08-06T00:25,1292,USD
Singapore,Paris,Air France,AI672,2025-10-05T15:25,2025-10-05T20:25,433,USD
Chicago,Singapore,American Airlines,AM245,2025-08-10T15:25,2025-08-11T04:25,890,USD
Delhi,Singapore,Singapore Airlines,SI830,2025-06-19T15:25,2025-06-20T06:25,849,USD
Sydney,Toronto,United Airlines,UN437,2025-09-24T15:25,2025-09-24T17:25,1086,USD
Frankfurt,Moscow,Cathay Pacific,CA574,2025-09-12T15:25,2025-09-13T04:25,688,USD
Dubai,Madrid,Japan Airlines,JA588,2025-08-28T15:25,2025-08-29T01:25,521,USD
Hong Kong,Chicago,Qantas,QA975,2025-07-25T15:25,2025-07-25T19:25,507,USD
Hong Kong,Sydney,Delta,DE272,2025-11-12T15:25,2025-11-12T23:25,972,USD
Beijing,Frankfurt,Japan Airlines,JA712,2025-09-05T15:25,2025-09-06T05:25,1489,USD
Toronto,Istanbul,American Airlines,AM971,2025-07-24T15:25,2025-07-25T01:25,605,USD
Chicago,Dubai,Singapore Airlines,SI531,2025-06-17T15:25,2025-06-17T19:25,993,USD
Delhi,Rome,Alitalia,AL893,2025-06-30T15:25,2025-07-01T05:25,1444,USD
London,Chicago,Qantas,QA427,2025-08-11T15:25,2025-08-12T03:25,780,USD
Dubai,New York,American Airlines,AM924,2025-07-08T15:25,2025-07-08T23:25,759,USD
Los Angeles,Rome,Emirates,EM522,2025-06-26T15:25,2025-06-26T17:25,974,USD
London,Hong Kong,Turkish Airlines,TU777,2025-09-26T15:25,2025-09-27T02:25,1280,USD
Los Angeles,London,American Airlines,AM956,2025-06-16T15:25,2025-06-17T02:25,636,USD
Tokyo,London,American Airlines,AM103,2025-08-21T15:25,2025-08-22T02:25,1143,USD
Hong Kong,Chicago,Singapore Airlines,SI605,2025-06-27T15:25,2025-06-27T20:25,1215,USD
Dubai,Rome,Singapore Airlines,SI769,2025-06-27T15:25,2025-06-27T21:25,1002,USD
Frankfurt,New York,Lufthansa,LU654,2025-06-17T15:25,2025-06-18T01:25,772,USD
Frankfurt,Bangkok,British Airways,BR980,2025-06-10T15:25,2025-06-11T02:25,1261,USD
New York,Singapore,Singapore Airlines,SI423,2025-07-24T15:25,2025-07-24T21:25,1256,USD
Delhi,Rome,Turkish Airlines,TU398,2025-07-15T15:25,2025-07-16T00:25,788,USD
Toronto,Tokyo,Turkish Airlines,TU700,2025-06-12T15:25,2025-06-12T20:25,455,USD
Delhi,London,Air India,AI929,2025-11-09T15:25,2025-11-09T17:25,482,USD
Bangkok,Dubai,Japan Airlines,JA479,2025-11-05T15:25,2025-11-05T23:25,1242,USD
Chicago,Paris,Singapore Airlines,SI346,2025-09-11T15:25,2025-09-11T17:25,454,USD
Paris,New York,Lufthansa,LU301,2025-06-22T15:25,2025-06-23T01:25,132,USD
Tokyo,Beijing,Air China,AI672,2025-06-18T15:25,2025-06-18T23:25,1001,USD
Toronto,Melbourne,Emirates,EM112,2025-11-20T15:25,2025-11-21T01:25,200,USD
Delhi,Bangkok,Delta,DE287,2025-06-26T15:25,2025-06-27T02:25,1240,USD
Paris,Sydney,Air India,AI641,2025-07-08T15:25,2025-07-09T00:25,527,USD
Singapore,Istanbul,American Airlines,AM110,2025-06-04T15:25,2025-06-04T17:25,205,USD
Hong Kong,Bangkok,United Airlines,UN897,2025-07-11T15:25,2025-07-11T21:25,369,USD
Toronto,Tokyo,Lufthansa,LU269,2025-10-16T15:25,2025-10-16T22:25,126,USD
Hong Kong,Bangkok,Air France,AI455,2025-07-17T15:25,2025-07-17T17:25,614,USD
Bangkok,Dubai,Cathay Pacific,CA214,2025-09-06T15:25,2025-09-07T02:25,1248,USD
Dubai,New York,Singapore Airlines,SI904,2025-08-12T15:25,2025-08-13T00:25,1314,USD
Frankfurt,Madrid,Lufthansa,LU435,2025-10-08T15:25,2025-10-09T06:25,614,USD
Tokyo,Frankfurt,Cathay Pacific,CA642,2025-07-14T15:25,2025-07-14T22:25,1386,USD
Dubai,Tokyo,Air India,AI970,2025-07-15T15:25,2025-07-16T00:25,461,USD
Istanbul,Dubai,Air France,AI472,2025-06-17T15:25,2025-06-17T23:25,551,USD
Chicago,Toronto,Alitalia,AL982,2025-08-27T15:25,2025-08-28T03:25,476,USD
Bangkok,Istanbul,Qantas,QA309,2025-08-09T15:25,2025-08-10T06:25,1323,USD
Delhi,Sydney,Air India,AI909,2025-09-24T15:25,2025-09-24T20:25,909,USD
Singapore,Melbourne,Lufthansa,LU919,2025-11-13T15:25,2025-11-13T23:25,580,USD
Frankfurt,Moscow,Turkish Airlines,TU823,2025-07-31T15:25,2025-07-31T18:25,931,USD
Melbourne,Sydney,American Airlines,AM961,2025-09-09T15:25,2025-09-10T05:25,970,USD
Istanbul,Toronto,Emirates,EM721,2025-07-03T15:25,2025-07-03T21:25,828,USD
Hong Kong,Melbourne,Air India,AI417,2025-11-18T15:25,2025-11-19T02:25,1343,USD
Frankfurt,Singapore,Qantas,QA612,2025-09-04T15:25,2025-09-04T17:25,101,USD
Bangkok,London,Turkish Airlines,TU579,2025-06-21T15:25,2025-06-21T18:25,595,USD
Madrid,Moscow,Air India,AI928,2025-11-01T15:25,2025-11-02T00:25,1104,USD
Hong Kong,Beijing,Alitalia,AL234,2025-07-27T15:25,2025-07-27T20:25,1148,USD
Toronto,Bangkok,Lufthansa,LU218,2025-08-14T15:25,2025-08-14T17:25,1228,USD
Delhi,Frankfurt,Singapore Airlines,SI272,2025-07-20T15:25,2025-07-20T20:25,380,USD
Singapore,Dubai,Air India,AI105,2025-08-03T15:25,2025-08-04T04:25,788,USD
Rome,Moscow,Singapore Airlines,SI525,2025-11-21T15:25,2025-11-22T00:25,430,USD
New York,Moscow,Air China,AI438,2025-11-16T15:25,2025-11-16T20:25,1490,USD
Chicago,Moscow,Air India,AI805,2025-09-21T15:25,2025-09-22T00:25,1254,USD
Chicago,Sydney,Japan Airlines,JA108,2025-08-27T15:25,2025-08-27T21:25,85,USD
Melbourne,Chicago,Alitalia,AL104,2025-07-30T15:25,2025-07-31T00:25,172,USD
Hong Kong,Sydney,Air China,AI638,2025-11-28T15:25,2025-11-29T04:25,1164,USD
Paris,Melbourne,Delta,DE513,2025-09-18T15:25,2025-09-19T04:25,1120,USD
Moscow,London,Air China,AI462,2025-07-07T15:25,2025-07-07T22:25,1308,USD
Toronto,Melbourne,Singapore Airlines,SI674,2025-10-10T15:25,2025-10-10T19:25,1323,USD
Moscow,Delhi,British Airways,BR476,2025-09-24T15:25,2025-09-25T04:25,1233,USD
Rome,Singapore,Emirates,EM522,2025-06-10T15:25,2025-06-10T21:25,425,USD
Beijing,Moscow,Air India,AI526,2025-11-13T15:25,2025-11-13T20:25,720,USD
Melbourne,Istanbul,Emirates,EM721,2025-11-12T15:25,2025-11-13T00:25,1405,USD
Madrid,Chicago,Air China,AI706,2025-08-17T15:25,2025-08-18T04:25,557,USD
Madrid,Istanbul,Air India,AI260,2025-10-13T15:25,2025-10-14T00:25,1211,USD
Istanbul,Melbourne,Lufthansa,LU328,2025-07-24T15:25,2025-07-24T19:25,916,USD
Melbourne,Rome,Air India,AI799,2025-06-26T15:25,2025-06-27T00:25,1362,USD
Hong Kong,Delhi,United Airlines,UN392,2025-08-31T15:25,2025-08-31T19:25,1106,USD
Istanbul,Bangkok,Air China,AI298,2025-11-16T15:25,2025-11-16T17:25,1244,USD
Moscow,Madrid,Turkish Airlines,TU224,2025-11-18T15:25,2025-11-19T00:25,975,USD
Melbourne,Madrid,Japan Airlines,JA731,2025-10-24T15:25,2025-10-25T06:25,391,USD
Frankfurt,Chicago,Japan Airlines,JA598,2025-06-04T15:25,2025-06-05T02:25,744,USD
Moscow,Los Angeles,Lufthansa,LU996,2025-06-13T15:25,2025-06-14T05:25,285,USD
Dubai,Singapore,Alitalia,AL310,2025-11-10T15:25,2025-11-11T03:25,1320,USD
Paris,Tokyo,Air China,AI645,2025-09-10T15:25,2025-09-11T04:25,381,USD
Sydney,Los Angeles,British Airways,BR997,2025-10-08T15:25,2025-10-09T05:25,1178,USD
Toronto,New York,American Airlines,AM693,2025-11-11T15:25,2025-11-12T01:25,783,USD
Tokyo,London,Emirates,EM481,2025-08-30T15:25,2025-08-30T17:25,174,USD
Toronto,Beijing,British Airways,BR518,2025-06-23T15:25,2025-06-24T02:25,240,USD
Sydney,Toronto,British Airways,BR725,2025-07-10T15:25,2025-07-10T22:25,398,USD
New York,Frankfurt,British Airways,BR534,2025-06-20T15:25,2025-06-20T22:25,397,USD
Toronto,Los Angeles,American Airlines,AM285,2025-07-14T15:25,2025-07-14T19:25,1315,USD
New York,Delhi,Singapore Airlines,SI454,2025-10-17T15:25,2025-10-18T06:25,941,USD
Moscow,Toronto,Air France,AI720,2025-07-08T15:25,2025-07-08T17:25,670,USD
Dubai,Hong Kong,American Airlines,AM589,2025-09-02T15:25,2025-09-03T02:25,1096,USD
Rome,Melbourne,Qantas,QA436,2025-06-28T15:25,2025-06-28T23:25,709,USD
Madrid,Rome,Lufthansa,LU531,2025-10-29T15:25,2025-10-30T02:25,363,USD
Sydney,Beijing,Japan Airlines,JA717,2025-07-19T15:25,2025-07-20T05:25,695,USD
London,Sydney,Singapore Airlines,SI684,2025-07-26T15:25,2025-07-26T19:25,226,USD
Melbourne,Tokyo,Qantas,QA245,2025-10-31T15:25,2025-11-01T04:25,638,USD
New York,Bangkok,Japan Airlines,JA563,2025-08-10T15:25,2025-08-10T22:25,974,USD
Chicago,Toronto,Delta,DE709,2025-07-11T15:25,2025-07-12T03:25,1256,USD
Toronto,London,Alitalia,AL484,2025-10-28T15:25,2025-10-29T04:25,158,USD
Dubai,Bangkok,Air France,AI480,2025-07-24T15:25,2025-07-25T01:25,1233,USD
Singapore,Hong Kong,British Airways,BR822,2025-07-05T15:25,2025-07-06T01:25,851,USD
Paris,Hong Kong,Emirates,EM375,2025-06-30T15:25,2025-06-30T17:25,602,USD
Paris,Delhi,Alitalia,AL865,2025-09-30T15:25,2025-09-30T17:25,1365,USD
Paris,Madrid,Singapore Airlines,SI459,2025-09-01T15:25,2025-09-02T01:25,1464,USD
Singapore,Los Angeles,British Airways,BR415,2025-07-18T15:25,2025-07-19T04:25,548,USD
Sydney,Tokyo,British Airways,BR471,2025-08-07T15:25,2025-08-08T00:25,359,USD
Los Angeles,Paris,United Airlines,UN533,2025-07-19T15:25,2025-07-20T06:25,496,USD
Paris,Los Angeles,Emirates,EM213,2025-07-21T15:25,2025-07-21T17:25,793,USD
Istanbul,Sydney,Turkish Airlines,TU782,2025-10-07T15:25,2025-10-08T04:25,558,USD
Beijing,Hong Kong,British Airways,BR446,2025-07-11T15:25,2025-07-12T06:25,1495,USD
Tokyo,Chicago,Delta,DE123,2025-10-24T15:25,2025-10-25T05:25,1480,USD
Istanbul,Melbourne,Qantas,QA185,2025-10-15T15:25,2025-10-15T20:25,593,USD
Frankfurt,Paris,Singapore Airlines,SI635,2025-09-11T15:25,2025-09-12T01:25,1238,USD
Sydney,Tokyo,Lufthansa,LU233,2025-10-24T15:25,2025-10-24T23:25,1228,USD
Bangkok,Singapore,Singapore Airlines,SI475,2025-09-07T15:25,2025-09-07T23:25,630,USD
Paris,Melbourne,Qantas,QA943,2025-10-26T15:25,2025-10-26T18:25,372,USD
Singapore,Los Angeles,Cathay Pacific,CA114,2025-09-17T15:25,2025-09-18T02:25,208,USD
Frankfurt,Dubai,Qantas,QA921,2025-06-25T15:25,2025-06-26T04:25,118,USD
Los Angeles,Beijing,Air China,AI318,2025-06-23T15:25,2025-06-23T18:25,685,USD
Tokyo,Chicago,Turkish Airlines,TU219,2025-11-24T15:25,2025-11-24T18:25,648,USD
Bangkok,Los Angeles,United Airlines,UN898,2025-10-17T15:25,2025-10-18T05:25,1307,USD
Toronto,Tokyo,United Airlines,UN524,2025-06-17T15:25,2025-06-17T17:25,722,USD
London,Madrid,Air China,AI226,2025-07-02T15:25,2025-07-02T18:25,539,USD
Frankfurt,Dubai,Turkish Airlines,TU606,2025-07-16T15:25,2025-07-17T01:25,1412,USD
London,Los Angeles,Japan Airlines,JA973,2025-10-17T15:25,2025-10-17T22:25,1331,USD
Paris,Beijing,Lufthansa,LU564,2025-08-04T15:25,2025-08-04T23:25,600,USD
Los Angeles,London,Singapore Airlines,SI562,2025-08-17T15:25,2025-08-17T18:25,1304,USD
Sydney,London,United Airlines,UN286,2025-10-21T15:25,2025-10-21T20:25,844,USD
Madrid,Tokyo,Emirates,EM790,2025-07-04T15:25,2025-07-05T01:25,1102,USD
Toronto,London,Japan Airlines,JA302,2025-09-19T15:25,2025-09-20T01:25,395,USD
Madrid,Beijing,Air China,AI963,2025-07-18T15:25,2025-07-18T18:25,149,USD
London,Madrid,British Airways,BR514,2025-09-26T15:25,2025-09-26T18:25,684,USD
London,Hong Kong,Turkish Airlines,TU107,2025-06-17T15:25,2025-06-18T05:25,736,USD
Tokyo,Toronto,Air France,AI511,2025-11-12T15:25,2025-11-12T18:25,1235,USD
Istanbul,Rome,United Airlines,UN236,2025-09-26T15:25,2025-09-26T18:25,739,USD
Melbourne,Toronto,Cathay Pacific,CA790,2025-10-08T15:25,2025-10-09T01:25,892,USD
Singapore,Istanbul,Air India,AI704,2025-07-01T15:25,2025-07-01T23:25,260,USD
